topic_title	screen_name	epoch	text	link
MB123	REUTERS	2013-03-05 14:00:03+00:00	Sharp Solar US Names Soligent as Master Distributor	http://www.reuters.com/article/2013/03/05/ca-soligent-idUSnBwbk0Brca+108+BSW20130305
MB123	REUTERS	2013-02-28 12:00:46+00:00	VDE Americas Enters North American Market to Meet Investor Demand for Solar PV Power Plant Quality Assurance	http://www.reuters.com/article/2013/02/28/ca-vde-americas-idUSnPnSF68314+160+PRN20130228
MB125	USATODAY	2013-02-04 00:50:00+00:00	Could Affleck's 'Argo' be inescapable at Oscars?	http://www.usatoday.com/LIFE/usaedition/2013-02-04-Directors-Guild_ST_U.htm
MB125	REUTERS	2013-02-03 09:54:05+00:00	Affleck wins directors award as 'Argo' hurtles to Oscars	http://www.reuters.com/article/2013/02/03/entertainment-us-directorsguild-idUSBRE91203820130203
MB125	AP	2013-02-24 05:00:00+00:00	'Argo' takes best picture at the Oscars	http://bigstory.ap.org/article/argo-takes-best-picture-oscars
MB125	REUTERS	2013-02-03 08:09:38+00:00	Affleck wins directors' top award as 'Argo' hurtles toward Oscars	http://www.reuters.com/article/2013/02/03/film-directorsguild-idUSL1N0B30MU20130203
MB125	REUTERS	2013-02-03 09:49:05+00:00	UPDATE 1-Affleck wins directors award as 'Argo' hurtles to Oscars	http://www.reuters.com/article/2013/02/03/film-directorsguild-idUSL5N0B31UG20130203
MB125	REUTERS	2013-02-20 13:55:11+00:00	Oscars in Hollywood cliffhanger over Best Picture, Director	http://www.reuters.com/article/2013/02/20/entertainment-us-oscars-bestpicture-idUSBRE91J0NB20130220
MB125	BBC	2013-02-25 12:07:55+00:00	Reporter's log: Oscars 2013	http://www.bbc.co.uk/news/entertainment-arts-21544910
MB125	USATODAY	2013-02-21 23:09:16+00:00	Claudia Puig calls it: Who will/should win the Oscars	http://www.usatoday.com/story/life/movies/2013/02/21/claudia-puig-picks-oscar-ballot/1921583/
MB125	AP	2013-02-24 05:00:00+00:00	Oscars have clear favorites, wild-card MacFarlane	http://bigstory.ap.org/article/oscars-have-clear-favorites-wild-card-macfarlane
MB126	PARSE_ERROR	USATODAY	Pitbull - Latest World & National News & Headlines - USATODAY.com	http://phxux.usatoday.com/topic/a7c31d5d-4113-49e9-9ed1-e96295beb787/pitbull/
MB127	REUTERS	2013-02-14 23:07:10+00:00	Democrats decry delay in vote for Hagel as defense chief	http://www.reuters.com/article/2013/02/14/us-obama-nominations-hagel-idUSBRE91C1K320130214
MB127	USATODAY	2013-02-14 22:54:51+00:00	Senate blocks Hagel nomination - for now	http://www.usatoday.com/story/news/politics/2013/02/14/hagel-senate-defense-filibuster/1920525/
MB127	AP	2013-02-14 05:00:00+00:00	Filibuster or not? GOP slow-walks Hagel nomination	http://bigstory.ap.org/article/filibuster-or-not-gop-slow-walks-hagel-nomination
MB127	USATODAY	2013-02-13 21:03:33+00:00	Senate gets ready for Chuck Hagel showdown	http://www.usatoday.com/story/news/politics/2013/02/13/hagel-defense-secretary-susan-collins/1917369/
MB127	USATODAY	2013-02-12 20:20:01+00:00	Senate panel approves Hagel nomination	http://www.usatoday.com/story/news/politics/2013/02/12/hagel-confirm-defense-democrats-obama/1913691/
MB127	REUTERS	2013-02-26 23:55:03+00:00	Senate approves Hagel as new secretary of defense	http://www.reuters.com/article/2013/02/26/us-obama-nominations-hagel-idUSBRE91P0ME20130226
MB127	AP	2013-02-15 05:00:00+00:00	Hagel stalled, but confirmation still expected	http://bigstory.ap.org/article/hagel-stalled-confirmation-still-expected
MB127	AP	2013-02-14 05:00:00+00:00	Senate GOP blocks Hagel vote for now	http://bigstory.ap.org/article/gop-senators-may-delay-hagel-vote-over-benghazi
